,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,TrackingError,Dislocation,Beta,Volume,Classifications
668,FBTC,0.73054,-1.262381,90.11,2025-06-23,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,21.3113,-138.38,0.8254,3500300,4-1
669,FBTC,0.819322,-2.013343,92.23,2025-06-24,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,21.9136,-222.863,0.826,3008100,4-1
670,FBTC,0.867874,0.674321,94.13,2025-06-25,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,22.243,79.499,0.8172,3389200,4-4
671,FBTC,0.727595,1.74902,93.95,2025-06-26,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,21.2914,200.403,0.8178,1529200,4-4
672,FBTC,0.748708,0.442029,93.28,2025-06-27,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,21.4346,53.366,0.8154,2199900,4-3
673,FBTC,0.761137,2.646313,93.99,2025-06-30,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,21.5189,301.348,0.8625,2385500,4-4
674,FBTC,0.659482,0.001856,91.95,2025-07-01,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,20.8293,3.847,0.8735,2174100,4-3
675,FBTC,0.567469,0.440871,95.82,2025-07-02,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,20.2051,53.236,0.8814,4476400,4-3
676,FBTC,0.596321,-0.540593,95.45,2025-07-03,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,20.4008,-57.179,0.8346,1573500,4-2
677,FBTC,0.591912,0.073728,94.33,2025-07-07,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,20.3709,11.932,0.8551,2051200,4-3
678,FBTC,0.592814,-0.408676,94.98,2025-07-08,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,20.377,-42.338,0.8499,1810500,4-2
679,FBTC,0.608272,1.33513,97.65,2025-07-09,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,20.4819,153.84,0.846,3157700,4-4
680,FBTC,0.738261,-1.648801,99.04,2025-07-10,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,21.3637,-181.852,0.7912,3284800,4-1
681,FBTC,1.116637,1.921913,103.16,2025-07-11,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,23.9306,219.853,0.7998,4991900,4-4
682,FBTC,1.116421,1.973909,104.72,2025-07-14,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,23.9291,225.703,0.7961,5084400,4-4
683,FBTC,1.100375,0.421124,101.64,2025-07-15,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,23.8202,51.014,0.8119,4722100,4-3
684,FBTC,0.905466,1.151087,104.14,2025-07-16,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,22.498,133.135,0.814,4529200,4-4
685,FBTC,0.737693,2.223173,103.88,2025-07-17,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,21.3599,253.745,0.8104,3296400,4-4
686,FBTC,0.684972,-0.871986,102.47,2025-07-18,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,21.0022,-94.46,0.8413,4945700,4-1
687,FBTC,0.675058,-0.969528,101.88,2025-07-21,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,20.935,-105.434,0.8432,3607700,4-1
688,FBTC,0.503485,0.773581,104.16,2025-07-22,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.771,90.666,0.846,3780700,3-4
689,FBTC,0.337583,-0.687454,103.38,2025-07-23,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.6456,-73.701,0.8432,3210300,3-1
690,FBTC,0.316024,0.558281,103.9,2025-07-24,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.4993,66.445,0.8404,3250800,3-4
691,FBTC,0.418295,-0.234293,101.97,2025-07-25,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.1931,-22.72,0.8527,3996700,3-2
692,FBTC,0.410859,0.680179,103.06,2025-07-28,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.1427,80.158,0.8496,3456100,3-4
693,FBTC,0.409043,-0.15101,102.5,2025-07-29,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.1303,-13.351,0.8456,3197100,3-2
694,FBTC,0.363263,-0.664444,101.97,2025-07-30,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.8198,-71.112,0.8466,2855300,3-1
695,FBTC,0.335605,-0.171233,101.84,2025-07-31,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.6321,-15.626,0.8217,3251800,3-2
696,FBTC,0.383582,-0.187803,98.66,2025-08-01,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.9576,-17.49,0.8492,6280900,3-2
697,FBTC,0.382738,-0.801187,100.12,2025-08-04,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.9519,-86.495,0.85,2472900,3-1
698,FBTC,0.38729,-0.56705,99.15,2025-08-05,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.9828,-60.155,0.8546,2736500,3-1
699,FBTC,0.374873,0.550961,100.62,2025-08-06,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.8985,65.621,0.8621,2846200,3-4
700,FBTC,0.180098,-0.481967,102.65,2025-08-07,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,17.5772,-50.583,0.861,2818400,3-2
701,FBTC,-0.359635,0.340096,101.6,2025-08-08,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.9157,41.899,0.8524,2438600,2-3
702,FBTC,-0.319166,0.848778,103.88,2025-08-11,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,14.1903,99.125,0.854,3059300,2-4
703,FBTC,-0.480108,0.645529,104.42,2025-08-12,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.0985,76.26,0.851,2912000,2-4
704,FBTC,-0.708837,0.334468,107.27,2025-08-13,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.5468,41.266,0.8593,5045300,1-3
705,FBTC,-0.721836,-0.245443,102.97,2025-08-14,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.4586,-23.974,0.8746,5801100,1-2
706,FBTC,-0.735685,-0.036559,102.03,2025-08-15,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.3647,-0.475,0.8735,2843900,1-2
707,FBTC,-0.730797,-0.41137,101.47,2025-08-18,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.3978,-42.641,0.8828,2464000,1-2
708,FBTC,-0.738895,-0.152974,98.62,2025-08-19,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.3429,-13.572,0.8809,4626200,1-2
709,FBTC,-0.739967,-0.634687,99.68,2025-08-20,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.3356,-67.764,0.9095,3714500,1-1
710,FBTC,-0.787157,-0.573206,97.79,2025-08-21,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.0155,-60.848,0.9161,3282600,1-1
711,FBTC,-0.925678,0.013813,101.79,2025-08-22,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.0758,5.192,0.9143,6612700,1-3
712,FBTC,-0.992976,-0.059281,96.63,2025-08-25,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,9.6192,-3.031,0.9138,4787900,1-2
713,FBTC,-0.914508,-0.805937,96.94,2025-08-26,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.1516,-87.03,0.9111,3917100,1-1
714,FBTC,-0.764116,0.482862,97.8,2025-08-27,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.1718,57.96,0.9209,2962000,1-3
715,FBTC,-0.79589,-0.233639,97.67,2025-08-28,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.9562,-22.646,0.9198,2391800,1-2
716,FBTC,-0.959317,-0.622959,94.39,2025-08-29,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,9.8476,-66.445,0.9175,4689700,1-1
717,FBTC,-0.96193,-0.777262,96.67,2025-09-02,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,9.8298,-83.804,0.9159,4564200,1-1
718,FBTC,-0.899858,0.930954,97.93,2025-09-03,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.2509,108.37,0.9191,2639800,1-4
719,FBTC,-0.795096,-1.484736,95.79,2025-09-04,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.9616,-163.395,0.9508,2782800,1-1
720,FBTC,-0.55393,1.100599,97.36,2025-09-05,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.5977,127.455,0.9504,3375800,2-4
721,FBTC,-0.525287,0.417395,97.81,2025-09-08,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.792,50.595,0.9503,2816400,2-3
722,FBTC,-0.567834,0.165401,97.14,2025-09-09,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.5033,22.246,0.9585,3237100,2-3
723,FBTC,-0.584895,-0.650172,99.11,2025-09-10,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.3876,-69.506,0.9583,4542400,2-1
724,FBTC,-0.591099,0.12833,99.91,2025-09-11,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.3455,18.075,0.9484,2256000,2-3
725,FBTC,-0.41165,0.034618,101.99,2025-09-12,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.5629,7.532,0.9315,2708100,2-3
726,FBTC,-0.363289,-0.046029,100.6,2025-09-15,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.8909,-1.54,0.9353,3180500,2-2
727,FBTC,-0.368251,0.311365,101.93,2025-09-16,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.8573,38.666,0.9427,3050600,2-3
728,FBTC,-0.33749,-0.277136,100.89,2025-09-17,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,14.066,-27.54,0.9651,4078800,2-2
729,FBTC,-0.267839,1.0392,102.47,2025-09-18,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,14.5385,120.548,0.9645,3321500,2-4
730,FBTC,-0.235201,-1.087253,100.43,2025-09-19,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,14.7599,-118.678,0.9655,2975500,2-1
731,FBTC,-0.248942,-0.473925,97.81,2025-09-22,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,14.6667,-49.679,0.9678,3165800,2-2
732,FBTC,-0.250636,-0.471677,97.37,2025-09-23,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,14.6552,-49.426,0.9673,2942700,2-2
733,FBTC,-0.311315,0.58954,98.95,2025-09-24,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,14.2435,69.961,0.97,2983300,2-4
734,FBTC,-0.441361,-0.271408,95.38,2025-09-25,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.3613,-26.895,0.9633,5975100,2-2
735,FBTC,-0.509301,-0.21908,95.21,2025-09-26,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.9004,-21.009,0.9435,4295800,2-2
736,FBTC,-0.474159,0.536987,99.81,2025-09-29,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.1388,64.049,0.9607,4611900,2-3
737,FBTC,-0.469478,0.633432,99.81,2025-09-30,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.1706,74.899,0.9603,2944300,2-4
738,FBTC,-0.444446,-0.725624,102.51,2025-10-01,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.3404,-77.995,0.9422,4965800,2-1
739,FBTC,-0.459001,0.408225,105.54,2025-10-02,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.2416,49.563,0.9445,5267600,2-3
740,FBTC,-0.666631,1.289526,107.17,2025-10-03,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.8331,148.71,0.9899,6688400,1-4
741,FBTC,-0.716946,0.785359,109.44,2025-10-06,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.4918,91.991,0.9759,6395300,1-4
742,FBTC,-0.703103,0.137456,106.12,2025-10-07,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.5857,19.102,0.9848,7840000,1-3
743,FBTC,-0.702549,0.997112,107.65,2025-10-08,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.5894,115.813,0.9742,4940000,1-4
744,FBTC,-0.685202,-0.745004,105.56,2025-10-09,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.7071,-80.175,0.9728,4763700,1-1
745,FBTC,-0.318663,1.475395,101.73,2025-10-10,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,14.1937,169.62,0.8897,9642800,2-4
746,FBTC,-0.030417,-0.63517,101.05,2025-10-13,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.1491,-67.819,0.8732,6961100,3-1
747,FBTC,0.049676,-1.303099,98.21,2025-10-14,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.6924,-142.961,0.8806,8008200,3-1
748,FBTC,0.044251,-0.683008,97.03,2025-10-15,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.6556,-73.2,0.8737,5542500,3-1
749,FBTC,0.008299,-0.720367,94.37,2025-10-16,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.4117,-77.403,0.8796,10158600,3-1
750,FBTC,-0.024742,-3.334946,92.86,2025-10-17,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.1876,-371.543,0.8809,11178600,3-1
