,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,SpreadBps,Illiquidity,ADV,Volume,Classifications
1558,ARKB,1.070065,1.904494,26.35,2025-03-10,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,78.012,-3.5975,109.35,5822100,4-4
1559,ARKB,1.133415,1.930929,27.63,2025-03-11,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,78.573,-3.5624,108.86,2946600,4-4
1560,ARKB,1.083656,2.375491,27.58,2025-03-12,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,88.012,-3.59,109.65,2210400,4-4
1561,ARKB,1.101288,2.799438,26.6567,2025-03-13,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,97.013,-3.5802,110.01,2799900,4-4
1562,ARKB,1.137102,2.293336,28.1433,2025-03-14,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,86.268,-3.5604,111.81,3358500,4-4
1563,ARKB,1.118321,2.534667,28.12,2025-03-17,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,91.392,-3.5708,113.09,2779500,4-4
1564,ARKB,1.127709,2.534667,27.3767,2025-03-18,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,91.392,-3.5656,115.37,4230900,4-4
1565,ARKB,1.14396,2.534667,28.4233,2025-03-19,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,91.392,-3.5566,114.79,2625000,4-4
1566,ARKB,1.131954,2.983757,28.0,2025-03-20,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,100.927,-3.5632,114.58,1712700,4-4
1567,ARKB,1.085719,2.983757,27.9083,2025-03-21,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,100.927,-3.5888,113.71,1472400,4-4
1568,ARKB,1.143791,2.762063,29.35,2025-03-24,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,96.22,-3.5567,109.56,2660100,4-4
1569,ARKB,1.134073,2.944663,29.3267,2025-03-25,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,100.097,-3.562,106.58,1195800,4-4
1570,ARKB,1.137018,2.944663,28.77,2025-03-26,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,100.097,-3.5604,98.75,2145300,4-4
1571,ARKB,1.133105,3.279309,28.9467,2025-03-27,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,107.202,-3.5626,90.16,1223700,4-4
1572,ARKB,1.204239,2.586392,27.8567,2025-03-28,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,92.49,-3.5232,88.53,2018700,4-4
